artist,cluster,cluster_name,plays
Pritam,0,bollywood soul,595
Shankar-Ehsaan-Loy,3,pop-rock crossover,552
A.R. Rahman,0,bollywood soul,387
Atif Aslam,3,pop-rock crossover,286
Vishal-Shekhar,0,bollywood soul,250
Arijit Singh,0,bollywood soul,172
Sachin-Jigar,3,pop-rock crossover,106
Lana Del Rey,3,pop-rock crossover,76
Shankar Mahadevan,0,bollywood soul,75
Mohit Chauhan,0,bollywood soul,65
Taylor Swift,3,pop-rock crossover,64
OaFF,2,alternative wanderer,64
Anirudh Ravichander,2,alternative wanderer,61
Ayushmann Khurrana,0,bollywood soul,58
Himesh Reshammiya,0,bollywood soul,54
Aditya Rikhari,0,bollywood soul,52
Amir Jamal,0,bollywood soul,52
Amit Trivedi,0,bollywood soul,48
Ram Sampath,4,cinematic composer,47
Roop Kumar Rathod,0,bollywood soul,41
Siddharth Mahadevan,1,vocal traditionalist,39
AP Dhillon,4,cinematic composer,35
The Smiths,2,alternative wanderer,33
Rochak Kohli,0,bollywood soul,26
S. P. Balasubrahmanyam,0,bollywood soul,26
Sukhwinder Singh,1,vocal traditionalist,25
Sona Mohapatra,2,alternative wanderer,24
Armaan Malik,0,bollywood soul,23
KK,3,pop-rock crossover,23
Jatin-Lalit,4,cinematic composer,22
Karthik,0,bollywood soul,20
SZA,2,alternative wanderer,19
Vishal Bhardwaj,4,cinematic composer,18
Amaal Mallik,1,vocal traditionalist,17
Salim–Sulaiman,0,bollywood soul,16
Darshan Raval,0,bollywood soul,16
The Weeknd,2,alternative wanderer,15
Kushagra,0,bollywood soul,15
Mitraz,0,bollywood soul,14
Javed Ali,1,vocal traditionalist,14
Abhijeet,4,cinematic composer,14
Vishal Mishra,3,pop-rock crossover,14
Kailash Kher,3,pop-rock crossover,14
Harshit Saxena,0,bollywood soul,13
Sachet Tandon,3,pop-rock crossover,13
Ankit Tiwari,0,bollywood soul,13
Rashid Ali,0,bollywood soul,11
Yo Yo Honey Singh,2,alternative wanderer,10
