artist,final_score,content_score,collab_score,cb_pct,cf_pct,reason,via,tags
Alexandra Savior,0.879,1.0,0.7984,56,44,tag match + listener overlap,"['Arctic Monkeys', 'The Last Shadow Puppets']","['indie pop', 'singer-songwriter', 'indie', 'indie rock']"
Lorde,0.8371,0.5927,1.0,37,63,tag match + listener overlap,"['Lana Del Rey', 'Taylor Swift']","['pop', 'indie pop', 'electronic', 'indie']"
Madison Beer,0.8214,0.5536,1.0,36,64,tag match + listener overlap,"['Lana Del Rey', 'Taylor Swift']","['pop', 'female vocalists', 'rnb', 'indie']"
Marina & the Diamonds,0.7452,0.7598,0.7355,51,49,tag match + listener overlap,['Lana Del Rey'],"['female vocalists', 'indie pop', 'indie', 'british']"
"Albert Hammond, Jr.",0.7302,0.628,0.7984,44,56,tag match + listener overlap,"['Arctic Monkeys', 'The Last Shadow Puppets']","['indie', 'indie rock', 'singer-songwriter', 'alternative']"
Melanie Martinez,0.7089,0.6689,0.7355,48,52,tag match + listener overlap,['Lana Del Rey'],"['pop', 'indie', 'indie pop', 'female vocalists']"
Zella Day,0.7089,0.6691,0.7355,48,52,tag match + listener overlap,['Lana Del Rey'],"['pop', 'indie', 'indie pop', 'folk']"
Miles Kane,0.6996,0.5515,0.7984,41,59,tag match + listener overlap,"['Arctic Monkeys', 'The Last Shadow Puppets']","['british', 'indie rock', 'indie', 'rock']"
Sky Ferreira,0.692,0.6269,0.7355,46,54,tag match + listener overlap,['Lana Del Rey'],"['pop', 'electropop', 'electronic', 'female vocalists']"
Florence + the Machine,0.6801,0.5971,0.7355,45,55,tag match + listener overlap,['Lana Del Rey'],[]
Emile Haynie,0.6757,0.5861,0.7355,44,56,tag match + listener overlap,['Lana Del Rey'],"['indie', 'experimental', 'pop', 'alternative']"
Julian Casablancas,0.671,0.4799,0.7984,38,62,tag match + listener overlap,"['Arctic Monkeys', 'The Last Shadow Puppets']","['indie', 'indie rock', 'rock', 'singer-songwriter']"
Alex Turner,0.6495,0.4262,0.7984,35,65,tag match + listener overlap,"['Arctic Monkeys', 'The Last Shadow Puppets']","['indie', 'british', 'indie rock', 'singer-songwriter']"
The Neighbourhood,0.6464,0.6411,0.65,50,50,tag match + listener overlap,['Arctic Monkeys'],"['indie', 'indie rock', 'indie pop', 'rock']"
Fiona Apple,0.6452,0.5097,0.7355,41,59,tag match + listener overlap,['Lana Del Rey'],"['female vocalists', 'singer-songwriter', 'alternative', 'piano']"
Remy Bond,0.6405,0.498,0.7355,40,60,tag match + listener overlap,['Lana Del Rey'],"['art pop', 'pop', 'dream pop', 'usa']"
Miles Kane and the Death Ramps,0.6135,0.3363,0.7984,30,70,tag match + listener overlap,"['Arctic Monkeys', 'The Last Shadow Puppets']","['britpop', 'rock', 'alternative', 'indie']"
Mini Mansions,0.6101,0.3278,0.7984,29,71,tag match + listener overlap,"['Arctic Monkeys', 'The Last Shadow Puppets']","['psychedelic', 'indie', 'indie rock', 'stoner rock']"
Catfish and the Bottlemen,0.6055,0.3163,0.7984,28,72,tag match + listener overlap,"['Arctic Monkeys', 'The Last Shadow Puppets']","['indie rock', 'indie', 'rock', 'british']"
The Fratellis,0.6021,0.3078,0.7984,28,72,tag match + listener overlap,"['Arctic Monkeys', 'The Last Shadow Puppets']","['indie rock', 'indie', 'british', 'rock']"
